SMILES,D2R_Activity,D2R_pIC50
COc1ccc2cc(/C=N/Nc3nc(-c4ccc([N+](=O)[O-])cn4)cs3)ccc2c1,0.00122645846568048,5414.620466291764
O=C(c1ccccc1Cl)N1CCC2(CC1)Nc1ccccc1NC2=O,0.22586505115032196,1198.952346727925
COc1ccc(CN2CCC(c3nnc(-c4ccncc4)o3)CC2)cc1O,0.2624131143093109,2983.73759519047
C[C@H]1CN(Cc2ccncc2)CCC1=O,0.6598773002624512,2378.4400928169075
NC(=O)CN1CCc2ccc(S(=O)(=O)NCC3CCCCN3)cc21,0.6538596153259277,8503.761921030098
COc1cc2c(cc1OC)[C@@H]1Cc3ccc(O)c(O)c3CN1CC2,0.827299952507019,2386.796799480185
Cc1cccc2c(=O)n(CCCCNS(=O)(=O)c3ccc(C(N)=O)c(F)c3)cnc12,0.3666786849498749,2506.550520156869
COc1ccc(-c2ccc(=O)n(CCN3CCN(c4ccccc4OC)CC3)n2)cc1,0.16909167170524597,1873.2235581106397
CCCCN[C@@H](CC)C(=O)NC1CCN(CC(F)(F)F)CC1,0.37281304597854614,16629.14880392507
COc1ccc2cc(/C=N/Nc3nc(-c4ccc5c(c4)OCO5)cs3)ccc2c1,0.012594841420650482,3751.1858168875724
C[C@H]1CN(CC[C@H]2CC[C@H](N3C(=O)[C@@H]4OC(=O)c5cc(Cl)ccc5N3C4=O)CC2)CCc2cc(F)ccc21,0.5285082459449768,-633.5289278500072
Cc1cc(CN2CCC(OCc3ccccc3C(F)(F)F)CC2)on1,0.6203047633171082,2697.399323553316
COc1ccc2cc(/C=N/Nc3nc(-c4ccc([N+](=O)[O-])cc4)cs3)ccc2c1,0.0015966348582878709,4827.88433160674
Cc1cc(NC(=O)CN2CCN(Cc3cccc(Cl)c3)CC2)[nH]n1,0.9452049732208252,48077.64212544535
CC1CC[C@H]2C(C)(C)CCC[C@@H]3c4ccc(CCC(=O)N(C)c5c(c4)CCC5)c(c4cc3)N4)C1,Invalid SMILES,Invalid SMILES
COc1ccc2c(c1O)[C@@H]1Cc3[nH]nc(-c4ccc(Cl)cc4)c3CN1CC2,0.602840781211853,1545.8956510493551
COc1ccc2c(c1OC)-c1c(CCN3CCC(F)(F)F)ccc3[C@@H]1C2,Invalid SMILES,Invalid SMILES
COc1ccc(CCNC(=O)c2ccc(-c3ccc(F)c(C(F)(F)F)c3)cc2O)cc1OC,0.3890591263771057,3021.300634793565
Cc1ccc2c(CC(=O)NCCCN3CCN(c4cccc(C)c4C)CC3)coc2c1,0.5402003526687622,3006.094304971599
CCOc1ccc2nc(N3CCN(C4CCCCC4)CC3)sc2c1,0.16398419439792633,-728.2140258653121
O=S(=O)(c1cncc2ccccc12)N1CCc2cc(O)ccc2C1,0.49045848846435547,1702.2419183396278
CN(CCOc1cccc(N2CCCC2)c1)S(C)(=O)=O,0.6456823945045471,1288.380333505387
Fc1ccc(NCc2ccc(NC3CC[C@H](O)CC3)nc2)c(Cl)c1,0.10612063854932785,1647.5944865947977
Fc1ccc2ncn(CCC(CNCCCc3cccc4c3OCO4)c2c1,Invalid SMILES,Invalid SMILES
COc1cc2c(cc1O)CCN1CCc3c(ccc(OC)c3O)C[C@@H]1-2,0.6625542640686035,2312.2998492739825
CCN1CC[C@@H]2Cc3cc(Oc4ccccc4)ccc3[C@H]21,0.37832966446876526,77.4426467610615
COc1cccc2c1C=[N+](c1ccccc1Cl)CC2.[Br-],0.13821659982204437,1380.3388233030948
O=S(=O)(c1cncc2ccccc12)N1CCc2cc3c(cc2C1)OCCO3,0.3635794222354889,1189.6090171716094
CN1CCN(c2ccc(S(=O)(=O)N3CCNCC3)cn2)CC1,0.5775015950202942,2654.4450407741747
Cc1cccc(N2CCN(CCCCCN3CCC(c4cccc(O)c4)CC3)CC2)c1,0.7510939836502075,3399.3466968217363
CN1CCN(c2ccccc2NC(=O)CCC2CCCN(CC(N)=O)C2)CC1,0.9181552529335022,25486.807700130965
C#CCN(CC1CC1)CC1CCN(C(=O)c2ccc3c(c2)CCN3)CC1,0.15384775400161743,731.3265208200264
COc1cc2c(cc1OC)C(=O)C(CC1CC1)C2=O,0.4012715518474579,775.2824894371379
COC(=O)c1ccc(N2CCN(c3sc(C)c(C)c3C(=O)OCCN3CCN(c4cccc(Cl)c4)CC3)C2)cc1,0.16560594737529755,1634.8549650545078
C/C(=C/C=C/c1ccc(S(=O)(=O)N2CCN(CCCc3ccccc3)CC2)cc1)c1ccc(OC)cc1,0.0896502286195755,3665.691338858297
