SMILES,_5HT2A_Activity,_5HT2A_pXC50,_5HT2A_inhibition,D2R_Activity,D2R_inhibition,D2R_pXC50,D2R__5HT2A_Activity,D2R__5HT2A_inhibition,D2R__5HT2A_pXC50
CN1CCN(C2=Cn3cccc3Sc3sccc32)CC1,0.5573071837425232,8.191316065664555,69.38463291943741,0.6583871245384216,61.30604063557563,7.356659481526572,0.6078471541404724,65.34533677750652,7.773987773595564
O=C(NC1CCc2ccc(CCN3CCN(c4nsc5ccccc45)CC3)cc21)OCC1CC1,0.39984971284866333,9.05066042063823,57.60509044893488,0.09479203820228577,24.76509789612649,7.944841991244485,0.24732087552547455,41.18509417253068,8.497751205941357
O=S(=O)(NCCCCN1CCC(c2noc3cc(F)ccc23)CC1)c1cc2ccccc2s1,0.3137543797492981,8.133916910244752,56.77236866311277,0.4332192540168762,54.73271877576646,7.926715569451667,0.37348681688308716,55.752543719439615,8.03031623984821
Oc1occ2cc(CNCCCOc3ccc(F)cc3)ccc12,0.1356479525566101,6.982440459940988,33.99188544046794,0.4153801202774048,38.558071161061065,7.406555680222323,0.27551403641700745,36.2749783007645,7.194498070081655
CN1CCN(c2nc(C3=C(c4c[nH]c5ccccc45)C(=O)NC3=O)c3ccccc3n2)CC1,0.4202449321746826,5.9667391674261605,48.06486737414358,0.7807394862174988,51.6257710073644,5.476419273722327,0.6004922091960907,49.84531919075399,5.7215792205742435
COc1cc(Cl)c(Cl)cc1C(=O)NC1CCN(CCCOc2ccc(F)cc2)CC1OC,0.21943576633930206,6.86991620047526,46.66068102716669,0.34003308415412903,35.88731302755575,7.662714859268226,0.27973442524671555,41.27399702736122,7.2663155298717435
CCCNC1CCc2ccc3[nH]cc(C(=O)CC)c3c2C1,0.14454035460948944,7.167376539484003,31.866017876890275,0.13976223766803741,16.504558155911162,6.538381137264912,0.14215129613876343,24.18528801640072,6.852878838374457
CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,0.6751331090927124,7.5446209007878,75.34669655124456,0.7730785608291626,63.869366565609724,7.236972057417397,0.7241058349609375,69.60803155842714,7.390796479102598
COc1ccc2c(c1)OCN(C)C1CN(CCc3ccc(O)cc3)CC21,0.2240956425666809,6.975353904023795,52.2314539517535,0.6461412906646729,61.902277500425214,6.24208365305035,0.4351184666156769,57.06686572608936,6.608718778537073
COc1cccc(C(=O)Nc2cccc(C(C)=O)c2)c1OC,0.12467436492443085,6.1868352964874775,25.172240055195687,0.12136046588420868,19.779803697621354,6.551839205458437,0.12301741540431976,22.47602187640852,6.369337250972958
COc1ccc(CN2CCN(c3ccc(Cl)cc3)CC2)c(F)c1,0.562495231628418,6.671832695096977,71.45730222934195,0.5648793578147888,47.21732693117998,4.98156677860696,0.5636872947216034,59.337314580260966,5.826699736851968
O=C1Cc2c([nH]c3ccc(Br)cc23)-c2ccccc2N1,0.21070517599582672,7.453661124759159,31.052790153165148,0.9085063338279724,82.22713397399772,8.277019249991879,0.5596057549118996,56.639962063581436,7.865340187375519
O=S(=O)(c1ccccc1)N1CCC(N2CCOCC2)CC1,0.5675029754638672,5.3226449432354475,61.94191438770301,0.27865421772003174,46.9890161013867,4.974773037395924,0.42307859659194946,54.46546524454486,5.1487089903156855
COc1ccc(NC(=O)Nc2ccc(F)c(F)c2)cc1-c1c(Br)cnn1C,0.28205934166908264,9.037950458370819,37.86838636690422,0.7784180641174316,53.702004264884124,6.389868227969427,0.5302387028932571,45.78519531589417,7.713909343170123
N#Cc1cccc(C(=O)NC2CCCCC2NC(=O)CN)c1,0.2024177759885788,5.140046678689127,21.9479073873431,0.0056219021789729595,5.378846934101308,7.539956865097999,0.10401983908377588,13.663377160722204,6.340001771893563
O=C(CCCCCN1CCN(c2cccc(Cl)c2Cl)CC1)c1nc2cc(F)cc(F)c2o1,0.5056648254394531,7.411057946067231,68.76554997744586,0.36342960596084595,34.92761082855255,6.6971982161591805,0.43454721570014954,51.84658040299921,7.054128081113205
Cc1ccc(S(=O)(=O)NCCCN2CCN(c3nsc4ccccc34)CC2)c(C)c1,0.4546147584915161,8.33013648533078,64.40912799758505,0.6374083161354065,66.57172517885935,7.974099722651681,0.5460115373134613,65.49042658822219,8.152118103991231
CN1CCC(n2c(=O)n(C)c3ccccc32)CC1,0.5591690540313721,6.03823209376104,59.13888661404722,0.4318813681602478,37.35429790884668,6.251321225847703,0.49552521109580994,48.24659226144695,6.144776659804371
COc1ccccc1N1CCN(CCCn2c(=O)[nH]c3scc(-c4ccccc4)c3c2=O)CC1,0.44510960578918457,5.578610412217515,63.50354892931696,0.3952172100543976,43.500576177016384,7.381878430220674,0.4201634079217911,53.502062553166674,6.480244421219094
