SMILES,D2R_Activity,D2R_pXC50,D2R_inhibition,D3R_Activity,D3R_pXC50,D3R_inhibition,D2R_D3R_Activity,D2R_D3R_inhibition,D2R_D3R_pXC50
COc1ccccc1N1CCN(CCCCNC(=O)c2ccc3ccccc3n2)CC1,0.0813458040356636,6.986843217254667,28.018622008259456,0.43332675099372864,8.307773889431102,52.00001500102358,0.2573362775146961,40.00931850464151,7.647308553342885
OC1(c2ccc(Cl)cc2)CC2CCC(C1)N2Cc1csc2ccccc12,0.1723158359527588,7.482301174039607,26.391925613669382,0.6868475079536438,7.949618947616459,49.63763417677756,0.4295816719532013,38.01477989522347,7.715960060828033
CC1=NC(=O)NC(c2ccc(F)c(F)c2)C1C(=O)NCCCN1CCC(c2ccccc2)CC1,0.41357776522636414,6.424322523994732,39.52445492627314,0.36554154753685,5.302580328329746,29.03497000550883,0.38955965638160706,34.27971246589098,5.863451426162239
CN1CCc2ccc3nc(O)nc(O)c3c2C1,0.447211354970932,7.400142021654381,36.55174826191233,0.21616655588150024,6.196542136875105,30.464785059025672,0.3316889554262161,33.508266660469005,6.798342079264743
c1ccc(CCN(Cc2cnc[nH]2)C2CCNC2)cc1,0.050046972930431366,5.205030825180868,27.55949397091581,0.6010981202125549,5.90311560202539,47.99258194312334,0.32557254657149315,37.776037957019575,5.554073213603129
Clc1ccc(CN2CCC(c3nc4ccccc4s3)CC2)cc1,0.32342904806137085,6.628173267634063,38.490478164178626,0.563424289226532,6.429719619208457,50.32936087932751,0.4434266686439514,44.40991952175307,6.52894644342126
COc1c(C(=O)NC2CCN(C3CCCCC3)CC2)cc(Br)c2ccccc12,0.11573668569326401,7.218166733572053,16.070058026571317,0.5233845710754395,7.605124833252737,25.222191588954146,0.31956062838435173,20.64612480776273,7.4116457834123946
O=C1c2ccccc2S(=O)(=O)N1CCCCN1CCN(c2ccccc2)CC1,0.43693241477012634,7.291260719348193,49.24930384261573,0.6503728628158569,6.425368979659622,65.1796354918777,0.5436526387929916,57.21446966724672,6.858314849503907
COc1ccc(-c2cccc(Cn3ccc4ccccc43)c2)cc1C1CCN(Cc2cncnc2)CC1,0.194155752658844,7.405279206789302,33.76341356216402,0.45474734902381897,6.383152239122351,46.75633855035175,0.3244515508413315,40.25987605625788,6.894215722955827
CC(C)Oc1ccccc1N1CCN(CSCc2cccc(CN(C)C)c2)CC1,0.8525350093841553,7.083412229242808,64.37927979482785,0.5066535472869873,6.834017523661072,60.53328101194118,0.6795942783355713,62.45628040338451,6.95871487645194
CN1CCC(=C2c3ccccc3CCc3sccc32)CC1,0.7062596082687378,7.8937688918663405,58.4357153668133,0.6798360347747803,7.063276339724119,60.331864704120235,0.693047821521759,59.38379003546677,7.47852261579523
