SMILES,MAOB_Activity,MAOB_pXC50,MAOB_inhibition,AChE_Activity,AChE_inhibition,AChE_pXC50,AChE_MAOB_Activity,AChE_MAOB_inhibition,AChE_MAOB_pXC50
COc1ccccc1C=CC=C1SC(=O)N(CCC(=O)O)C1=O,0.03744276612997055,5.278032817650529,31.738627014657606,0.20305512845516205,47.7197549048126,5.080464659651052,0.1202489472925663,39.72919095973511,5.179248738650791
CC(CCCOCCCCCCCCNc1c2c(nc3ccccc13)CCCC2)c1ccccc1,0.17220212519168854,5.161914950095892,47.642001461008434,0.5594019293785095,57.46519238271382,6.722361147060569,0.36580202728509903,52.55359692186113,5.942138048578231
Cc1cccc(C2C(=O)N(C)C(=NCC(N)Cc3ccc(O)cc3)N=C2c2ccccc2O)c1,0.1012478768825531,4.567232252548855,32.78172560440184,0.18729454278945923,37.29038154108301,6.123465688147879,0.14427120983600616,35.036053572742425,5.3453489703483665
CCN(CC)CCCOC(=O)C(C)(c1ccccc1)C1CCCCC1,0.020659077912569046,5.308676619117648,35.84962710761537,0.317056804895401,43.013819768601735,4.864140085576887,0.16885794140398502,39.43172343810855,5.086408352347267
Cc1cnc(Nc2ccc3c(c2)oc(=O)n3C)s1,0.10648864507675171,7.23355266930694,42.980377465367184,0.16062593460083008,37.42349988753012,6.05278138519436,0.1335572898387909,40.20193867644865,6.64316702725065
COc1cccc(-c2cc(=O)c3c(O)cc(O)cc3o2)c1,0.21583636105060577,4.3673878472508925,45.717243742449845,0.2568664848804474,42.8099582455427,5.077068650051919,0.23635142296552658,44.26360099399628,4.722228248651406
O=C1SC(=Cc2ccccc2Cl)C(=O)N1c1ccc(O)cc1,0.06386415660381317,4.578865132492011,29.349436442973317,0.1674526035785675,43.95581283758998,5.525684889538541,0.11565838009119034,36.65262464028165,5.052275011015276
NC(=O)c1cc2c3ccccc3ccn2c1-c1cccc(O)c1,0.2638300359249115,4.768814123146078,42.74657916655071,0.26212334632873535,43.04523725681579,5.183683302149966,0.2629766911268234,42.89590821168325,4.976248712648022
O=C(Oc1ccc(I)cc1)c1cn(C2OC(CO)C(O)C2O)c2ccccc12,0.19723041355609894,5.208409223533371,48.03150507564801,0.023189784958958626,21.93059120355216,6.458711492605263,0.11021009925752878,34.98104813960009,5.833560358069317
COc1ncc2cc(C(=O)Nc3cc(C(O)=NCCN)ccc3Cl)c(O)nc2n1,0.10160096734762192,6.052588675187856,37.47632367611723,0.031214678660035133,29.374371743402662,5.67718259127289,0.06640782300382853,33.42534770975995,5.864885633230373
COc1ccccc1Oc1cc(-n2c(C)cc(C#N)c2C)ncn1,0.08937422931194305,4.9588412657594985,28.12119715834671,0.034465283155441284,20.551270011124636,5.761500428247875,0.06191975623369217,24.336233584735673,5.360170847003687
CC(=O)Nc1ccc(NC(=O)COc2ccc(-c3noc(C(C)C)n3)cc2)cc1,0.05050675943493843,6.196490065266894,36.039146786423345,0.03513447195291519,22.404757485382355,5.787756063955215,0.04282061569392681,29.22195213590285,5.992123064611055
CCC(CNC(=O)c1ccc(C=S(O)c2ccccc2)o1)c1ccccc1,0.08489188551902771,4.108197614624175,41.03298777984083,0.037004053592681885,14.341626140470648,5.587180379039496,0.0609479695558548,27.687306960155738,4.8476889968318355
O=C(O)CC=CC=C(c1ccc(Cl)c(Cl)c1)c1ccco1,0.35732847452163696,5.690569902663266,48.462629742219995,0.00938305165618658,15.309808467991235,4.830945826782211,0.18335576308891177,31.886219105105617,5.260757864722739
CC(C)CNc1ncnc2c1sc1nc(N3CCOCC3)c3c(c12)CC(C)(C)OC3,0.05017748847603798,4.227289874308559,37.4892199246453,0.06755661219358444,21.686492265814973,4.219927896272562,0.05886705033481121,29.587856095230137,4.22360888529056
Cc1ccc(S(=O)(=O)c2cn(CC(=O)c3ccc(Cl)cc3)c3cc(Br)ccc3c2=O)cc1,0.11595097929239273,4.506763546232196,43.30965950962672,0.19441507756710052,47.36159948262518,5.815926539235663,0.15518302842974663,45.33562949612595,5.161345042733929
O=C(Nc1ccc(Cl)cc1)C1CCCCC1,0.4856633245944977,6.2938790814964625,42.94921310711989,0.11958641558885574,35.245888396967246,5.085441390938497,0.3026248700916767,39.09755075204357,5.689660236217479
