SMILES,AChE_pXC50,MAOB_pXC50,AChE_MAOB_pXC50
CC(C)CCNC1=NS(=O)(=O)c2ccccc21,5.088786602020264,4.704587936401367,4.896687269210815
COC1(c2ccc(C)cc2)CCCCC1,3.912003993988037,5.2519965171813965,4.582000255584717
O=C(C=Cc1ccc(Cl)cc1)Nc1ccccc1,4.105910301208496,5.978391647338867,5.042150974273682
CC(=O)Nc1ccc2c(c1)Cc1c-2n[nH]c1-c1ccc(C#N)cc1,5.622950077056885,5.478951930999756,5.55095100402832
N#CC(=Cc1ccc(O)c(O)c1)C(=O)NCc1ccccc1,5.139800071716309,5.498981952667236,5.3193910121917725
O=C1CCC=C2Oc3cc(C(F)(F)F)ccc3C(=O)C12,5.519974231719971,6.711987495422363,6.115980863571167
O=C(c1ccccc1)c1cc(O)cc(O)c1O,4.5295000076293945,4.493357181549072,4.511428594589233
O=C(Nc1ccc(F)c(F)c1)c1cc2ccccc2oc1=O,5.603782653808594,5.807010650634766,5.70539665222168
CCOc1cc2c(cc1OCC)CCNC2,4.771320819854736,3.658090114593506,4.214705467224121
CC1=CC2Cc3nc4cc(Cl)ccc4c(N)c3C(C1)C2,7.141253471374512,4.37076473236084,5.756009101867676
O=C(C=Cc1ccc(COc2ccccc2)o1)Nc1ccc2c(c1)OCO2,5.504226207733154,5.924994945526123,5.714610576629639
O=C1Cc2c([nH]c3ccc([N+](=O)[O-])cc23)-c2ccccc2N1,5.156867504119873,5.928645133972168,5.5427563190460205
Cc1cccc(NC(=O)Nc2c3c(nn2C)CCC3)c1,5.958066463470459,4.050206661224365,5.004136562347412
C=CCNC(=O)C=Cc1cnc(N)c2c(-c3ccc(NC(=O)Nc4cc(C)ccc4F)cc3)csc12,6.1875739097595215,5.308127403259277,5.747850656509399
CC(C)CCNC(=O)c1ccc2[nH]c(O)c(C=Nc3ccc(S(N)(=O)=O)cc3)c2c1,5.344719409942627,5.060077667236328,5.2023985385894775
c1cc2cc3c(cc2cc1)OCCCO3,4.108774185180664,5.653435707092285,4.881104946136475
C=CCN1CCc2c(c3ccccc3n2C)C1,5.389640808105469,4.273521423339844,4.831581115722656
COc1ccc(Cc2cn(-c3ccc(F)cc3)c3ccccc23)cc1,4.886724472045898,5.31447696685791,5.100600719451904
NC(=O)c1ccc(-c2cccc(OCCCCCN3CCCCC3)c2)o1,5.970334529876709,5.683948516845703,5.827141523361206
COc1ccc(C2=NN(CCCCF)C(=O)C3C=CC=CC=C3=N2)cc1,,,
Cc1ccc(-c2cc(=O)n(C)c(=O)n2C)cc1,5.50880765914917,6.354237079620361,5.931522369384766
O=c1c(-c2ccc(F)cc2)coc2cc(OCCCN3CCOCC3)ccc12,5.0590033531188965,5.780454158782959,5.419728755950928
O=C1Nc2cc(Br)ccc2C1C1=Nc2ccccc2C1=NO,5.95255708694458,5.156149387359619,5.5543532371521
Cc1c(NCCO)cccc1C=C1C(=O)Nc2ccccc21,5.392751693725586,6.149339199066162,5.771045446395874
Clc1ccc(-c2n[nH]cc2-c2ccncn2)cc1Cl,4.388820171356201,5.7994232177734375,5.094121694564819
COc1cc2c(cc1OC)C(=O)c1c(-c3ccc(F)cc3)nn(C)c1C2,5.604300498962402,5.690371513366699,5.647336006164551
