SMILES,AChE_pXC50,MAOB_pXC50,AChE_MAOB_pXC50
CCCC(=CCC1CC(CO)(COC(=O)CCc2ccccc2)OC1=O)CC=O,5.134716510772705,5.50272798538208,5.318722248077393
CC(=O)OCC12CC(OC(=O)CCCCCCCCCS)C(OC(C)=O)C(OC(C)=O)C1OC1C(C)=O,,,
CN1CCC(CNC(=O)c2cc3c(-c4ccccc4)[nH]nc3s2)CC1,5.982198715209961,4.933095932006836,5.457647323608398
CC(C)(C)OC(=O)NC(CCCCCSc1ccccc1N)C(=O)c1cc2ncccc2[nH]1,5.774781227111816,4.418954372406006,5.096867799758911
O=C(c1cnccn1)N1CCC2(CC1)CN(C(=O)Nc1ccccc1)C2,5.143707752227783,4.674715042114258,4.9092113971710205
CC12CCC3C(CC=C4CC(=O)CCC43C)C1CCC2=O,4.528210639953613,8.377945899963379,6.453078269958496
COc1cc2nc(-c3ccc(OC)c(OC)c3)oc(=O)c2cc1OC,5.763413429260254,5.111433506011963,5.437423467636108
O=C(OC1C[N+]2(CCc3ccccc3)CCC1CC2)C1(O)c2ccccc2Oc2ccccc21,5.510886192321777,4.754979610443115,5.132932901382446
COc1cc2c(CC(=O)O)c(-c3ccc(F)cc3)oc(=O)c2cc1OC,5.624564170837402,4.861266136169434,5.242915153503418
CN1CCN(CCCNc2nc(-c3ccc(Br)s3)nc3ccccc23)CC1,5.39940881729126,5.1067585945129395,5.2530837059021
COc1ccc(CNC(=O)Oc2ccc3c(c2)C2(C)CCN(C)C2N3C)cc1,6.065578460693359,5.082982063293457,5.574280261993408
CC#CC1C(=O)CC2(CCN(Cc3ccccc3)CC2)Oc2ccccc21,5.330024719238281,4.349536418914795,4.839780569076538
Cc1c2c3c(c4ccccc4n1-c1ccc(C(=O)NCc4ccccn4)cc1)CCC3,,,
CC1=CC2Cc3nc4cc(Cl)ccc4c(N)c3C(C1)C2,7.141253471374512,4.370758533477783,5.7560060024261475
O=C1C(N(CCC2CCCCC2)CC(=O)c2ccccc2)CC=CCN1O,5.413678169250488,4.736940860748291,5.07530951499939
c1ccc2c(NCCCCCCCN3CCOCC3)c3c(nc2c1)CCCC3,7.510428905487059,4.117228984832764,5.813828945159911
CC(C)C1=Nc2cc(C(=O)NC3CCCCC3CO)ccc2Sc2ccccc21,5.976798534393311,4.988658905029297,5.482728719711304
COc1ccc(C=C(C#N)C#N)cc1C(=O)Nc1ccc(C)cc1,5.316371917724609,5.912409782409668,5.614390850067139
CCn1c2cc(Cl)c(F)cc2c(=O)c2c(O)onc21,6.307967185974121,4.3492841720581055,5.328625679016113
COc1cc(C2(c3ccccc3)CCN(Cc3nccn3C)CC2)cc(OC)c1OC,4.713788032531738,4.7236223220825195,4.718705177307129
Cc1cc(C)[n+](CC2Cc3ccccc3C2=O)c(C)c1,6.40887451171875,5.407655715942383,5.908265113830566
Nc1c(Cl)cc(C(=O)NC(CCC2CCN(Cc3ccc(CN4CCCCC4)cc3)CC2)C(=O)O)cc1Cl,6.498231887817383,3.544787883758545,5.021509885787964
CCC1=CC2Cc3nc4cc(F)ccc4c(N)c3C(C1)C2,7.49134635925293,4.713107109069824,6.102226734161377
CN(C)CCC=C1c2ccccc2CCc2ccccc21,4.139177322387695,4.645995616912842,4.3925864696502686
CC(C)(C(=O)NCCC1=CCCCC1)N1CCCCC1,6.011588096618652,4.248640537261963,5.130114316940308
c1cc(C[n+]2ccc3ccccc3c2)cc(N2CCC3(CC2)CN(c2ccccc2)CC3)c1,5.179816246032715,4.2318644523620605,4.705840349197388
CS(=O)(=O)c1ccc(CNC(=O)c2cc(N)c(C#N)c(NCCCCCCCCN(CCN)C(=O)c3ccccc3O)n2)cc1,7.047550201416016,5.121041774749756,6.084295988082886
CCCN(CCCNc1ccnc2cc(Cl)ccc12)Cc1ccccc1OC,6.031309604644775,3.9411075115203857,4.986208558082581
CN(CCCOc1ccc2c(=O)c3ccccc3oc2c1)Cc1cccc(OC(=O)Nc2ccccc2)c1,6.629802703857422,5.221814155578613,5.925808429718018
CN1c2ccc(OC(=O)Nc3cc(C(C)(C)C)ccc3OC(F)(F)F)cc2S(=O)(=O)c2ccc(C3CCN(C)CC3)cc21,5.4028143882751465,5.4610114097595215,5.431912899017334
CC1=CC2Cc3nc4cc(Cl)ccc4c(NCCCCCCCCNc4c5c(nc6cc(Cl)ccc46)CCCC5)c3C(C1)C2,9.15479850769043,4.744492053985596,6.949645280838013
CCCNC(=O)c1ccc2c(c1)N=C(NCCC)N=2,,,
CN1CCN(c2ccc(-c3cnc4c(c3)N(Cc3ccccc3)C(=O)C(C)(C)C4)cn2)CC1,5.311152935028076,5.6261773109436035,5.46866512298584
O=C1CCCC(CCCN2CCC(CCc3ccccc3)CC2)N1,5.794172286987305,3.7785840034484863,4.7863781452178955
CN(C)c1nc(NCC2CCN(C(=O)c3ccoc3)CC2)nc2ccccc12,6.372389793395996,4.876039505004883,5.6242146492004395
CCC1=C2CC(C)(C)C(=O)CCC2(C)C2CCC3(C)C(CCC34CCC(=O)O4)C12,5.415876865386963,8.152336120605469,6.784106492996216
COc1ccc(CCN(C)CCCCCN(C)CC(=O)N2c3ccccc3C(=O)Nc3cccnc32)cc1OC,5.835773944854736,4.897973537445068,5.366873741149902
CCC(C)C(NC(=O)C1CCN(Cc2ccccc2)CC1)C(=O)NC(C=O)Cc1c[nH]c2ccccc12,5.087587356567383,3.882291555404663,4.484939455986023
CC(C=CC=C(C)CC=CC1=C2CC(=O)C(=NCCCCCCCN(C)Cc3ccccc3)C=CC2=CC1)C=CC2,,,
CSc1cc2c(cc1OC)C(=O)C(Oc1ccc(C(=O)C(F)(F)F)cc1)C2,6.723338603973389,5.764177322387695,6.243757963180542
O=C(CCCCC1CCSS1)Nc1ccc(CC2CCN(CC3CC3)CC2)cc1,5.814452171325684,4.089912414550781,4.952182292938232
COc1ccc(CCN(C)CCCN=C(O)c2ccc(-c3ccccn3)cc2)cc1OC,4.814359188079834,4.743834018707275,4.779096603393555
Oc1cc2c(cc1O)=C1c3ccc(CCC[n+]4ccc(OCC5CC5)cc4)cc3C2,,,
CC(NC(=O)c1ccc2c(c1)CCC1(CCN(Cc3ccccc3)CC1)O2)c1ccc(Cl)cc1,5.4262375831604,4.298808574676514,4.862523078918457
CN(c1ccccc1)S(=O)(=O)c1ccc2c(c1)c(C(=O)NCCOC[N+](C)(C)Cc1ccccc1)[n+]2C,6.119067192077637,3.745668411254883,4.93236780166626
CCCCC1=CC2=C(c3ccco3)C(=O)NC2=CC1=O,4.268484592437744,6.027737617492676,5.14811110496521
Nc1cccc(C(=O)OC2CN3CCC2CC3)c1,5.340908050537109,3.7329368591308594,4.536922454833984
COc1cc2c(cc1OC)C(CC(=O)c1ccc(F)cc1)(c1ccc(F)cc1)N(C)C2,5.372549533843994,6.353450298309326,5.86299991607666
O=C(NCc1ccc(Cl)cc1)NCC(c1ccccc1)N1CCCC1,4.204362392425537,3.813166618347168,4.0087645053863525
CCC1=CC2Cc3nc4cc(Cl)ccc4c(NCCCCCCCCNC(=O)c4cc(OCCO)ccc4OC)c3C(C1)C2,7.960638999938965,4.916739463806152,6.438689231872559
CC(C)(C)c1cc[n+](Cc2cccc(C[n+]3ccc(C(C)(C)C)cc3)c2)cc1,6.389419555664063,2.081495523452759,4.235457539558411
