SMILES,D2R_Activity,D2R_pXC50,D2R_inhibition,D3R_Activity,D3R_inhibition,D3R_pXC50,D2R_D3R_Activity,D2R_D3R_inhibition,D2R_D3R_pXC50,_5HT2A_Activity,_5HT2A_inhibition,_5HT2A_pXC50,D2R__5HT2A_Activity,D2R__5HT2A_inhibition,D2R__5HT2A_pXC50
COc1ccccc1N1CCN(CCCCNC(=O)c2ccc3ccccc3c2)CC1,0.0966940522193908,7.037692724723092,33.037954656249234,0.5389938354492188,57.58211680106498,8.597191353828725,0.3178439438343048,45.31003572865711,7.817442039275908,0.46759888529777527,68.00954669408299,6.688570669246191,0.282146468758583,50.52375067516611,6.863131696984642
OC1(c2ccc(Cl)cc2)CC2CCC(C1)N2Cc1csc2ccccc12,0.1723158359527588,7.482301174039607,26.391925613669382,0.6868475079536438,49.63763417677756,7.949618947616459,0.4295816719532013,38.01477989522347,7.715960060828033,0.28295809030532837,49.91416955538223,6.6014210174909485,0.22763696312904358,38.15304758452581,7.041861095765277
CC1CN(Cc2ccc3c(c2)Cc2c(-c4ccc(CNC(=O)OCc5ccccc5)s4)n[nH]c2-3)CC(C)O1,0.1642775386571884,5.900819242785841,22.232400362169894,0.2784387171268463,27.269999280554146,5.566834979055264,0.2213581278920173,24.75119982136202,5.7338271109205525,0.1238204836845398,20.71026539753063,5.284935416472286,0.1440490111708641,21.471332879850262,5.592877329629063
COc1cccc(C(=O)NC2CC3CCC(C2)N3CC(=O)Nc2ccccc2Cl)c1,0.0711276456713676,5.795308746155866,34.40538236787191,0.4476988315582275,26.12461835799217,7.345090873183926,0.2594132386147976,30.26500036293204,6.570199809669896,0.32668477296829224,45.254872695339266,6.040824882189624,0.1989062093198299,39.830127531605584,5.918066814172745
COc1ccc(CCN2C3C4C5CC6C7C5C3C7C2(O)C64)cc1OC,0.8183024525642395,5.320740902930366,79.78626848591145,0.6504478454589844,8.953304255891673,5.545653746281443,0.7343751490116119,44.369786370901565,5.433197324605905,0.025291698053479195,41.13970429348757,5.49955560008809,0.42179707530885935,60.46298638969951,5.410148251509228
COc1ccccc1N1CCN(CCCCNC(=O)C=Cc2ccc(C#N)cc2)CC1,0.0977639853954315,7.624363333664648,32.289093949043824,0.2253269553184509,36.91905720204517,8.826550066322799,0.1615454703569412,34.6040755755445,8.225456699993723,0.40578970313072205,59.13073826005756,6.033852701054968,0.2517768442630768,45.70991610455069,6.8291080173598075
Oc1ccc2c(c1)OC(CNCc1ccccc1)CC2,0.3326725661754608,8.551985169088859,44.60649530620209,0.464240163564682,42.60305948351981,8.150400446416885,0.3984563648700714,43.60477739486095,8.351192807752872,0.12122773379087448,28.390832882526233,7.313728033117157,0.22695014998316765,36.49866409436416,7.932856601103008
O=c1c2ccccc2nnn1CCCCCCN1CCN(c2ccccc2F)CC1,0.2329543530941009,7.377299567335963,37.10642468568784,0.4849059879779815,58.65766904417253,7.505431745187354,0.3589301705360412,47.88204686493018,7.441365656261659,0.6491919755935669,80.7489632649717,7.0724757954497735,0.4410731643438339,58.927693975329774,7.224887681392868
CN1CCN(c2ccc3nc(O)c(C(=O)NC4CCN(Cc5ccccc5)CC4)cc3n2)CC1,0.1246821954846382,7.1081317631013095,21.40751030807805,0.4082316756248474,36.96478760406077,6.828327034147151,0.2664569355547428,29.18614895606941,6.96822939862423,0.4798801839351654,52.9440470042112,5.521920354973636,0.3022811897099018,37.17577865614462,6.315026059037473
CC(C)CN(CCN1CCN(C(=O)c2ccc(F)cc2)CC1)C(=O)c1nsc2ccccc12,0.1045005917549133,5.146183700471738,19.149453524094174,0.3331881165504455,42.70769207074889,6.497994937994355,0.2188443541526794,30.92857279742153,5.822089319233047,0.4642629325389862,64.70810160334516,5.948937749819497,0.28438176214694977,41.92877756371966,5.547560725145617
